ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Cladocera.embryo,Eucypris,Ilyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oligochaete,Gastropod,Tardigrade,Nematode,Hyalella,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Streblocerus,Amphipod,Ilyocryptus,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled
RRSAC7_2/22/2021_6:50,0,4.761904762,11.9047619,142.8571429,0,0,2.380952381,0,76.19047619,0,2.380952381,2.380952381,50,2.380952381,16.66666667,2.380952381,266.6666667,0,16.66666667,0,0,2.380952381,59.52380952,0,0,0,0,35.71428571,0,7.142857143,0,16.66666667,0,9.523809524,9.523809524,0,26.19047619,2.380952381,11.9047619,0,0,0,2.380952381,0,4.761904762,0,0,0,2.380952381,0,0,0,NA,RRSAC7,06:50:00,11.512,154.3,207.6,135,0.1,97.6,10.63,7.68,10.3,4.43,0.6,378578,379374,1,NA,1.512035699
RRSAC7_3/1/2021_7:00,0,12.5,31.25,656.25,0,0,25,12.5,212.5,0,0,0,118.75,0,50,6.25,406.25,0,81.25,0,0,0,50,6.25,0,0,0,168.75,56.25,12.5,18.75,0,6.25,25,18.75,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC7,06:50:00,10.52,NA,224.7,NA,0.11,100.7,11.22,7.85,7.9,3.81,NA,401168,401970,2,NA,1.523432953
RRSAC7_3/8/2021_6:50,0,8.333333333,75,966.6666667,0,0,0,0,358.3333333,0,8.333333333,0,75,0,41.66666667,0,200,0,16.66666667,0,0,0,41.66666667,0,0,0,0,633.3333333,0,25,8.333333333,100,0,0,0,0,16.66666667,16.66666667,0,8.333333333,0,0,0,0,25,0,0,0,0,0,0,0,2021-01-03,RRSAC7,07:00:00,10.78,166.7,228.5,148.529,0.11,102,11.3,8.11,5.17,5.01,0.8,422708,423504,3,NA,1.512035699
RRSAC7_3/15/2021_7:20,8,12,0,136,0,0,0,24,104,0,12,0,132,8,72,0,412,0,84,0,0,4,0,0,0,0,0,308,0,0,12,24,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2021-08-03,RRSAC7,06:50:00,12.723,169.8,221.6,144.064,0.11,98.7,10.46,8.16,4.45,4.65,0.89,447162,447853,2,NA,1.312583754
RRSAC7_3/22/2021_7:25,0,1.428571429,8.571428571,138.5714286,0,2.857142857,7.142857143,11.42857143,12.85714286,0,0,0,24.28571429,0,34.28571429,0,132.8571429,1.428571429,48.57142857,0,0,0,0,1.428571429,0,0,0,107.1428571,0,1.428571429,8.571428571,15.71428571,0,12.85714286,11.42857143,0,5.714285714,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,NA,RRSAC7,07:20:00,11.525,154.8,208.2,135.286,0.1,97.5,10.62,7.95,2.95,2.98,0.76,468142,468861,1,NA,1.365770939
RRSAC7_3/29/2021_7:25,0,19.23076923,11.53846154,257.6923077,0,11.53846154,7.692307692,0,30.76923077,0,0,0,92.30769231,0,65.38461538,0,380.7692308,0,57.69230769,0,0,0,0,0,0,0,0,100,0,23.07692308,11.53846154,3.846153846,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,NA,RRSAC7,07:25:00,12.71,140.7,183.7,119.395,0.09,100.3,10.63,7.72,6.68,3.9,0.65,488280,489085,1,NA,1.52913158
RRSAC8_11/9/2020_7:40,42.85714286,23.80952381,71.42857143,452.3809524,0,0,4.761904762,19.04761905,23.80952381,0,0,0,42.85714286,9.523809524,128.5714286,0,433.3333333,0,457.1428571,0,0,33.33333333,0,19.04761905,0,0,0,38.0952381,0,38.0952381,76.19047619,161.9047619,0,147.6190476,9.523809524,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,9.523809524,NA,RRSAC7,07:25:00,14.951,166,205.4,133.477,0.1,99,9.98,8.01,4.04,2.78,0.38,509665,510369,1,NA,1.337277804
RRSAC8_11/16/2020_6:50,0,0,0,268.5714286,0,8.571428571,11.42857143,0,0,0,0,0,74.28571429,5.714285714,97.14285714,0,8.571428571,0,40,0,5.714285714,2.857142857,0,0,0,0,0,17.14285714,0,0,5.714285714,48.57142857,0,11.42857143,2.857142857,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-11,RRSAC8,07:40:00,11.71,128.8,172.5,112,0.08,95.1,10.3,7.96,1.78,1.64,0.84,81856,82556,1,NA,1.329679635
RRSAC8_11/23/2020_6:50,4.545454545,0,4.545454545,286.3636364,0,4.545454545,31.81818182,0,9.090909091,0,0,0,459.0909091,13.63636364,113.6363636,0,0,0,77.27272727,0,9.090909091,4.545454545,4.545454545,0,0,0,0,127.2727273,0,0,9.090909091,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,06:50:00,10.585,131.3,181,118,0.09,97.3,10.82,7.91,1.72,1.88,0.77,92722,93421,1,NA,1.327780093
RRSAC8_11/30/2020_6:55,0,16.66666667,108.3333333,625,0,0,91.66666667,0,75,0,0,0,658.3333333,41.66666667,200,8.333333333,33.33333333,0,41.66666667,0,0,0,0,0,0,0,0,791.6666667,0,0,0,16.66666667,0,25,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,NA,RRSAC8,06:50:00,10.909,144.3,197.5,129,0.09,93.9,10.37,7.85,3.03,2.06,0.82,106065,106729,1,NA,1.261296111
RRSAC8_12/8/2020_6:50,0,4.166666667,50,283.3333333,0,8.333333333,12.5,0,91.66666667,0,0,0,408.3333333,16.66666667,133.3333333,0,37.5,0,29.16666667,0,8.333333333,12.5,0,12.5,0,0,0,79.16666667,0,4.166666667,8.333333333,0,0,4.166666667,8.333333333,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,NA,RRSAC8,06:55:00,9.55,136,192.7,125,0.09,97.7,11.13,8.01,1.52,2.86,0.93,121300,121954,1,NA,1.242300687
RRSAC8_12/15/2020_9:30,0,0,24.44444444,211.1111111,0,6.666666667,17.77777778,0,24.44444444,0,0,0,173.3333333,15.55555556,115.5555556,0,20,0,73.33333333,0,0,8.888888889,0,0,0,0,0,140,0,2.222222222,8.888888889,15.55555556,0,22.22222222,4.444444444,0,0,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-12,RRSAC8,06:50:00,9.634,138.2,195.4,127,0.09,97.3,11.08,7.81,1.57,2.03,0.78,148739,149395,1,NA,1.246099772
RRSAC8_12/22/2020_6:50,0,0,55,560,0,20,60,5,80,0,0,0,380,15,280,0,135,0,90,0,0,10,15,0,0,0,0,150,0,0,10,0,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,NA,RRSAC8,09:30:00,9.757,144.4,203.3,132,0.1,95.8,10.85,7.88,3.33,1.86,0.77,174662,175341,1,NA,1.289789246
RRSAC8_12/29/2020_6:40,0,7.692307692,53.84615385,815.3846154,0,7.692307692,123.0769231,0,100,0,15.38461538,0,330.7692308,61.53846154,161.5384615,0,376.9230769,0,92.30769231,0,0,0,0,0,0,0,0,615.3846154,0,0,7.692307692,15.38461538,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,06:50:00,8.999,146.7,210.9,137,0.1,94.4,10.9,7.8,4.69,2.77,0.86,192135,192795,2,NA,1.253697941
RRSAC8_1/5/2021_7:10,0,16.66666667,76.66666667,300,0,13.33333333,20,0,50,0,3.333333333,0,83.33333333,3.333333333,40,0,196.6666667,0,30,0,3.333333333,0,6.666666667,0,0,0,0,103.3333333,56.66666667,0,30,0,0,20,0,0,0,0,3.333333333,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,NA,RRSAC8,06:40:00,8.837,142.1,205.2,133,0.1,96,11.13,7.74,5.24,2.33,0.82,214549,215510,8,NA,1.825460185
RRSAC8_1/12/2021_6:50,3.333333333,0,40,333.3333333,0,3.333333333,16.66666667,3.333333333,66.66666667,0,0,0,93.33333333,26.66666667,73.33333333,0,326.6666667,3.333333333,96.66666667,0,0,3.333333333,0,0,0,0,0,36.66666667,0,0,6.666666667,6.666666667,0,23.33333333,3.333333333,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,10,2021-05-01,RRSAC8,07:10:00,9.659,148.5,209.8,136,0.1,95.5,10.85,7.72,4.95,2.45,0.77,231175,231913,2,NA,1.401862244
RRSAC8_1/15/2021_10:20,0,3.125,12.5,175,0,0,6.25,6.25,37.5,0,0,0,50,0,21.875,0,293.75,0,28.125,0,0,6.25,18.75,0,0,0,0,56.25,56.25,3.125,9.375,9.375,0,12.5,3.125,0,3.125,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,2021-12-01,RRSAC8,06:50:00,9.106,156.9,224.9,146,0.11,96,11.06,7.72,6.43,2.1,0.77,261586,262236,2,NA,1.234702518
RRSAC8_1/19/2021_6:50,0,0,16.66666667,345.8333333,0,4.166666667,20.83333333,0,33.33333333,0,0,0,41.66666667,0,29.16666667,0,216.6666667,0,45.83333333,0,0,0,29.16666667,0,0,0,4.166666667,220.8333333,66.66666667,4.166666667,20.83333333,20.83333333,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,10:20:00,10.253,164.3,228.5,149,0.11,97.3,10.91,7.75,5.68,1.82,0.66,272435,273143,1,NA,1.344875974
RRSAC8_1/22/2021_7:10,0,0,40,500,0,5,10,5,35,0,0,0,60,5,20,10,190,0,30,0,0,0,10,0,0,0,0,55,85,0,20,20,0,20,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,06:50:00,10.547,161.6,223,145,0.11,97.5,10.83,7.75,6.5,2.89,0.69,292583,293265,2,NA,1.295487873
RRSAC8_1/26/2021_7:10,0,3.333333333,13.33333333,303.3333333,0,0,3.333333333,10,36.66666667,0,0,0,63.33333333,0,13.33333333,0,106.6666667,0,3.333333333,0,0,0,3.333333333,0,0,0,0,36.66666667,10,0,0,13.33333333,0,16.66666667,3.333333333,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,07:10:00,9.801,162.4,228.6,149,0.11,97.1,11,7.91,4.16,2.48,0.61,304847,305678,2,NA,1.578519681
RRSAC8_2/2/2021_6:50,0,2.5,20,15,225,0,0,2.5,25,0,2.5,0,17.5,0,22.5,0,127.5,0,12.5,0,7.5,2.5,7.5,2.5,0,0,0,47.5,65,0,2.5,10,0,12.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,07:10:00,8.682,143.6,208.3,135,0.1,98,11.4,8.01,2.96,2.58,0.84,322130,322817,1,NA,1.304985585
RRSAC8_2/8/2021_6:30,7.142857143,21.42857143,14.28571429,371.4285714,0,7.142857143,28.57142857,7.142857143,71.42857143,0,7.142857143,0,0,28.57142857,107.1428571,7.142857143,685.7142857,7.142857143,271.4285714,0,0,0,0,7.142857143,0,0,0,7.142857143,0,0,21.42857143,50,0,7.142857143,14.28571429,0,21.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,2021-02-02,RRSAC8,06:50:00,9.632,126.3,178.6,116,0.08,93.4,10.62,7.53,17.8,3.57,0.7,343511,344195,1,NA,1.299286958
RRSAC8_2/15/2021_6:30,5.555555556,5.555555556,27.77777778,588.8888889,0,16.66666667,16.66666667,0,66.66666667,0,0,0,72.22222222,0,22.22222222,5.555555556,616.6666667,0,194.4444444,0,0,0,77.77777778,0,0,0,0,300,0,22.22222222,22.22222222,83.33333333,0,44.44444444,5.555555556,0,33.33333333,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-02,RRSAC8,06:30:00,10.093,145.8,203.6,132,0.1,93.2,10.49,7.64,14.91,2.9,0.75,356240,356986,2,NA,1.417058582
RRSAC8_2/22/2021_6:30,0,7.142857143,14.28571429,296.4285714,0,7.142857143,10.71428571,0,60.71428571,0,0,0,50,0,35.71428571,10.71428571,353.5714286,0,107.1428571,0,0,0,60.71428571,3.571428571,0,0,0,221.4285714,0,21.42857143,10.71428571,21.42857143,0,7.142857143,17.85714286,0,35.71428571,0,7.142857143,7.142857143,0,0,0,0,3.571428571,0,0,0,0,0,0,0,NA,RRSAC8,06:30:00,11.559,154.5,207.7,135,0.1,98,10.66,7.72,11.18,4.77,0.65,377862,378574,1,NA,1.352474143
RRSAC8_3/1/2021_6:40,0,31.25,31.25,637.5,0,12.5,75,18.75,125,0,12.5,0,106.25,0,75,31.25,443.75,0,62.5,0,0,0,62.5,6.25,0,0,0,406.25,87.5,25,50,25,0,56.25,31.25,0,31.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,RRSAC8,06:30:00,10.489,NA,224.9,NA,0.11,100.9,11.25,7.88,8.35,3.81,NA,400413,401158,2,NA,1.41515904
RRSAC8_3/8/2021_6:35,0,25,8.333333333,750,0,0,16.66666667,8.333333333,483.3333333,0,0,0,116.6666667,8.333333333,58.33333333,16.66666667,275,0,58.33333333,0,0,0,33.33333333,0,0,0,0,66.66666667,83.33333333,8.333333333,0,8.333333333,0,8.333333333,41.66666667,0,0,8.333333333,0,16.66666667,0,0,0,0,0,0,0,0,25,0,0,0,2021-01-03,RRSAC8,06:40:00,10.841,166.7,228.2,148.325,0.11,101.8,11.26,8.08,6.13,3.75,0.85,421970,422712,3,NA,1.409460413
RRSAC8_3/15/2021_7:00,0,11.11111111,27.77777778,361.1111111,0,0,11.11111111,22.22222222,122.2222222,0,11.11111111,0,150,5.555555556,94.44444444,0,550,0,77.77777778,0,0,0,0,0,0,0,0,255.5555556,0,0,5.555555556,22.22222222,0,22.22222222,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,2021-08-03,RRSAC8,06:35:00,12.693,169,220.8,143.57,0.11,98.4,10.45,8.17,4.96,5.66,0.93,446318,447144,2,NA,1.569021969
RRSAC8_3/22/2021_7:10,2,2,12,194,0,4,46,12,16,0,0,0,30,0,26,0,98,0,70,0,0,2,0,2,0,0,4,94,0,0,10,38,0,16,16,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,8,NA,RRSAC8,07:00:00,11.553,153.8,206.8,134.368,0.1,97.6,10.62,7.98,4.69,3.21,0.84,467434,468140,1,NA,1.341076889
RRSAC8_3/29/2021_7:10,25,0,7.142857143,375,0,10.71428571,64.28571429,7.142857143,14.28571429,0,3.571428571,0,96.42857143,14.28571429,42.85714286,0,375,3.571428571,185.7142857,0,0,0,0,7.142857143,0,0,0,21.42857143,0,0,57.14285714,85.71428571,0,46.42857143,35.71428571,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,7.142857143,0,0,14.28571429,NA,RRSAC8,07:10:00,12.711,141.2,184.4,119.868,0.09,100.2,10.62,7.74,11.7,5.72,0.73,487591,488294,1,NA,1.335378262
NA,39.13043478,47.82608696,21.73913043,417.3913043,0,0,17.39130435,52.17391304,34.7826087,0,4.347826087,0,56.52173913,4.347826087,178.2608696,0,373.9130435,4.347826087,260.8695652,0,0,8.695652174,0,0,0,0,0,26.08695652,0,0,21.73913043,126.0869565,0,73.91304348,17.39130435,0,8.695652174,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,NA,RRSAC8,07:10:00,14.899,165.7,205.1,133.299,0.1,99.4,10.03,8.06,4.52,3.74,0.42,508878,509662,1,NA,1.489241191
MNT3ASource_10/1/2018_8:00,0,0,0,19.80594847,0,0,0,0,11.31768484,0,0,0,5.658842421,0,8.488263632,0,2.829421211,0,2.829421211,0,0,0,16.97652726,0,0,0,0,0,0,0,2.829421211,0,8.488263632,0,2.829421211,0,0,0,0,0,2.829421211,0,0,0,0,0,2.829421211,0,0,0,0,NA,2018-01-10,MNT3ASource,08:00:00,18.563,812.6,926.1,602,0.46,41.6,3.89,7.61,2.98,1.16,0.14,0,0,1,NA,0.353429174
MNTNEWCAN_4/8/2019_8:25,0,11.31768484,2.829421211,178.2535363,0,5.658842421,5.658842421,0,0,0,0,0,73.56495147,0,22.63536968,0,246.1596453,0,59.41784542,0,0,0,5.658842421,5.658842421,0,11.31768484,0,48.10016058,0,0,0,0,0,0,0,0,8.488263632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-08-04,MNTNEWCAN,08:25:00,18.512,877.8,1001.7,651,0.5,98.6,9.2,7.34,6.28,2.07,0.15,0,0,1,NA,0.353429174
ACCSAC2_11/5/2018_12:30,0,14.6349373,126.8361232,1170.351501,0,0,121.9578108,9.756624864,0,0,0,0,439.0481189,19.51324973,204.8891221,0,282.9421211,0,29.2698746,0,0,0,97.56624864,0,9.756624864,0,19.51324973,411.5521762,0,0,24.39156216,0,0,14.6349373,0,0,14.6349373,4.878312432,4.878312432,0,4.878312432,0,0,0,0,0,48.78312432,0,0,0,0,NA,2018-05-11,ACCSAC2,12:30:00,15,121.3,148.4,96,0.07,101.4,10.09,7.78,2.54,1.49,0.22,0,0,1,NA,0.353429174
ELDCAN_4/8/2019_11:40,0,0,8.488263632,234.8419605,0,0,2.829421211,0,14.14710605,0,0,0,8.488263632,0,11.31768484,0,53.759003,0,5.658842421,0,0,0,0,0,0,0,0,31.12363332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-08-04,ELDCAN,11:40:00,13.262,114.3,147.5,96,0.07,98.4,10.33,7.41,27.67,1.24,0.3,0,0,1,NA,0.353429174
MNTNEWCAN_4/1/2019_8:20,0,0,169.7652743,848.8263716,0,84.88263716,0,0,0,0,0,0,254.6479115,0,0,0,9676.620636,0,1103.474283,0,0,0,169.7652743,169.7652743,0,84.88263716,0,679.0610973,0,0,0,0,0,0,0,0,0,0,0,0,169.7652743,0,0,0,0,0,0,0,0,0,0,NA,2019-01-04,MNTNEWCAN,08:20:00,17.27,826.5,968.7,630,0.48,95.8,9.17,7.29,8.4,2.06,0.31,0,0,2,NA,0.353429174
ACCSAC3_11/5/2018_12:50,0,22.63536968,1120.450799,96.20032116,0,11.31768484,76.39437268,2.829421211,0,0,0,0,271.6244362,0,175.4241151,0,110.3474272,0,19.80594847,0,0,0,79.22379389,8.488263632,2.829421211,0,8.488263632,121.6651121,0,0,16.97652726,0,0,8.488263632,0,0,0,25.46479089,8.488263632,5.658842421,0,11.31768484,0,0,16.97652726,0,0,0,0,0,0,NA,2018-05-11,ACCSAC3,12:50:00,15.318,115.4,141.4,92,0.07,96.9,9.7,7.5,2.34,1.09,0.33,0,0,1,NA,0.353429174
ACCSAC4_11/5/2018_12:55,0,14.14710605,59.41784542,1155.346994,0,11.31768484,39.61189695,0,0,0,0,0,263.1361726,25.46479089,144.3004817,0,42.44131816,0,5.658842421,0,0,0,50.92958179,22.63536968,0,0,8.488263632,203.7183272,0,0,8.488263632,0,0,5.658842421,0,0,0,8.488263632,0,22.63536968,0,0,48.10016058,0,19.80594847,0,0,0,0,0,0,NA,2018-05-11,ACCSAC4,12:55:00,15.247,115.3,141.5,92,0.07,96.9,9.71,7.52,2.22,1.29,0.36,0,0,NA,NA,0.353429174
MNTNEWCAN_3/18/2019_9:35,0,8.488263632,2.829421211,62.24726663,0,16.97652726,48.10016058,0,2.829421211,0,0,0,31.12363332,0,2.829421211,0,277.2832786,0,19.80594847,0,0,0,16.97652726,5.658842421,0,8.488263632,0,48.10016058,0,0,0,0,0,0,0,0,87.71205753,2.829421211,0,0,0,2.829421211,0,0,0,0,2.829421211,0,0,0,0,NA,NA,MNTNEWCAN,09:35:00,15.431,902.5,1103.6,717,0.55,86.1,8.58,7.39,7.62,2.4,0.36,0,0,1,NA,0.353429174
RRCAN_4/8/2019_10:20,0,5.658842421,11.31768484,1980.594847,0,0,8.488263632,22.63536968,5.658842421,0,0,0,19.80594847,0,67.90610905,0,164.1064302,0,36.78247574,0,0,0,31.12363332,5.658842421,0,14.14710605,0,856.9104239,0,0,0,0,0,0,0,0,0,0,0,0,11.31768484,0,2.829421211,0,0,0,2.829421211,0,0,0,0,NA,2019-08-04,RRCAN,10:20:00,19.431,896.5,1003.1,651,0.5,77.9,7.13,7.56,47.53,5.14,0.39,0,0,2,NA,0.353429174
MNTNEWCAN_4/15/2019_8:30,5.658842421,5.658842421,8.488263632,65.07668784,0,11.31768484,11.31768484,0,2.829421211,0,0,0,99.02974237,8.488263632,90.54147874,2.829421211,121.6651121,0,36.78247574,0,0,0,0,0,0,22.63536968,2.829421211,42.44131816,0,0,22.63536968,22.63536968,0,0,2.829421211,0,0,2.829421211,2.829421211,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MNTNEWCAN,08:30:00,17.034,836.5,974.6,633,0.48,124.7,12.01,7.8,6.04,2.38,0.41,0,0,1,NA,0.353429174
MNTNEW_11/5/2018_10:25,0,141.4710605,2687.95015,3112.363332,0,0,0,0,5234.429239,0,707.3553026,0,7568.701738,495.1487118,4314.867346,0,212.2065908,0,990.2974237,0,0,0,70.73553026,990.2974237,70.73553026,0,70.73553026,282.9421211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018-05-11,MNTNEW,10:25:00,16.425,813.5,970.9,631,0.48,47,4.42,7.06,76.8,3.09,0.47,0,0,7,NA,0.353429174
MNT3A_11/5/2018_10:45,0,0,1697.652726,27162.44362,0,0,2829.421211,0,23201.25393,0,1131.768484,0,87146.17328,3395.305453,0,0,0,0,0,0,0,0,5658.842421,0,0,0,0,1131.768484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018-05-11,MNT3A,10:45:00,16.618,351.6,1608.1,1045,0.82,33.6,3.25,7.03,8.47,3.35,0.49,0,0,8,NA,0.353429174
ELDCAN_4/3/2019_7:50,0,16.97652726,16.97652726,990.2974237,0,0,25.46479089,2.829421211,28.29421211,0,0,0,22.63536968,0,8.488263632,0,118.8356908,0,16.97652726,0,0,0,5.658842421,0,2.829421211,0,0,33.95305453,0,0,0,0,0,0,0,0,0,0,0,2.829421211,2.829421211,0,0,0,0,0,0,0,0,0,0,NA,2019-03-04,ELDCAN,07:50:00,12.839,135.1,175.9,114,0.08,92.3,9.76,7.33,20.42,2.13,0.5,0,0,1,NA,0.353429174
KNGCAN_4/10/2019_11:30,0,28.29421211,56.58842421,2291.831181,0,28.29421211,141.4710605,0,56.58842421,0,28.29421211,0,877.1205753,0,2122.065908,0,1924.006423,0,311.2363332,0,0,0,141.4710605,28.29421211,0,0,0,2772.832786,0,0,28.29421211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-10-04,KNGCAN,11:30:00,15.851,943.4,1143.7,744,0.57,67.8,6.59,7.57,12.64,5.78,0.51,0,0,2,NA,0.353429174
KNG6_4/15/2019_12:50,282.9421211,0,3112.363332,67906.10905,0,0,565.8842421,282.9421211,35650.70725,0,1131.768484,0,7073.553026,7356.495147,3961.189695,0,8771.205753,0,0,0,0,0,565.8842421,0,0,0,0,20371.83272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,KNG6,12:50:00,12.896,823.2,1019.2,662,0.51,90.3,9.1,7.91,15.1,6.2,0.51,0,0,7,ALL CHECKS SUBMERGED,0.353429174
ELDCAN_3/27/2019_7:50,0,2.829421211,0,50.92958179,0,2.829421211,0,0,8.488263632,0,0,0,11.31768484,0,2.829421211,0,2.829421211,0,0,0,0,0,0,0,0,0,0,5.658842421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,ELDCAN,07:50:00,11.932,139.1,185.1,120,0.09,91.7,9.89,7.62,18.43,2.37,0.54,0,0,1,NA,0.353429174
MNTNEWCAN2_11/5/2018_10:20,495.1487118,141.4710605,5658.842421,0,0,778.0908329,0,0,848.8263632,0,0,0,6578.404314,848.8263632,4031.925225,0,0,0,0,0,0,0,70.73553026,70.73553026,0,0,0,2900.156741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018-05-11,MNTNEWCAN2,10:20:00,15.994,351,423.6,273,0.2,37.1,3.66,7.13,5.01,4.83,0.54,0,0,4,NA,0.353429174
MNTNEWCAN_4/30/2019_8:40,0,70.73553026,0,4739.280528,0,0,0,0,0,0,70.73553026,0,848.8263632,495.1487118,3890.454164,282.9421211,10539.59401,282.9421211,141.4710605,0,0,0,0,70.73553026,0,141.4710605,0,848.8263632,0,0,0,141.4710605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4710605,0,70.73553026,0,NA,NA,MNTNEWCAN,08:40:00,20.879,263,285.3,186,0.14,60.3,5.4,7.08,22.61,2.45,0.55,0,0,NA,NA,0.353429174
MNTNEWCAN_4/22/2019_8:40,0,70.73553026,0,2829.421211,0,0,141.4710605,0,0,0,0,0,7497.966208,0,1202.504014,0,2475.743559,0,141.4710605,0,0,0,353.6776513,0,0,0,0,919.5618934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MNTNEWCAN,08:40:00,18.804,838.2,951.3,619,0.47,100.1,9.29,7.7,12.18,5.37,0.55,0,0,2,NA,0.353429174
MNTNEWCAN_5/7/2019_8:25,0,94.31404034,94.31404034,7733.751308,0,0,94.31404034,0,94.31404034,0,0,0,2169.222928,0,90682.9498,94.31404034,565.8842421,0,0,0,0,0,0,0,0,0,0,282.9421211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-07-05,MNTNEWCAN,08:25:00,19.402,260.4,291.4,189,0.14,63.7,5.85,7.27,28.48,9.53,0.57,0,0,2,NA,0.353429174
MNTNEWCAN_3/11/2019_9:50,0,0,0,94.31404034,0,0,0,0,0,0,0,0,94.31404034,0,0,0,8582.577671,0,282.9421211,0,0,0,94.31404034,0,0,0,0,282.9421211,0,0,0,0,0,0,0,0,94.31404034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-11-03,MNTNEWCAN,09:50:00,13.008,694.7,900.5,585,0.45,59,6.18,7.27,16.98,1.75,0.58,0,0,2,NA,0.353429174
MNTNEWCAN_3/4/2019_8:45,0,84.88263632,28.29421211,1810.829575,0,0,0,0,282.9421211,0,0,0,226.3536968,565.8842421,113.1768484,0,7865.790965,113.1768484,113.1768484,0,0,0,0,0,0,28.29421211,0,169.7652726,0,0,0,28.29421211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019-04-03,MNTNEWCAN,08:45:00,12.835,460.4,599.2,389,0.29,59.5,6.25,7.12,40.69,3.35,0.58,0,0,3,NA,0.353429174
